State,State Code,2020-01-30,2020-02-02,2020-02-03,2020-02-14,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,
Andaman and Nikobar Islands,AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,5,7,8,10,12,14,16,19,20,20,20,21,21,22,24,24,28,29,30,30,31,32,32,33,35,37,41,42,42,44,45,46,46,47,48,49,50,50,50,50,51,51,51,51,51,
Andhra Pradesh,AP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,4,4,6,6,6,7,7,11,14,14,14,16,17,20,22,24,27,29,31,31,31,31,31,31,33,33,33,33,34,36,38,41,44,45,45,46,47,48,48,49,50,50,52,53,54,55,56,56,56,57,58,59,60,60,62,64,64,68,71,73,73,75,75,77,78,80,80,82,84,86,88,90,92,96,101,106,111,119,129,136,146,157,169,180,187,193,198,206,218,232,239,252,264,277,292,309,328,365,408,452,492,534,586,642,696,758,823,884,933,985,1041,1090,1148,1213,1281,1349,1407,1474,1537,1604,1681,1753,1842,1939,2036,2116,2203,2296,2378,2475,2562,2650,2732,2820,2906,3001,3092,3189,3282,3368,3460,3541,3633,3714,3796,3884,3969,4053,4125,4200,4276,4347,4417,4487,4560,4634,4702,4779,4846,4846,
Arunachal Pradesh,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,7,8,8,8,8,8,9,9,9,10,10,10,
Assam,AS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,6,6,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,10,11,11,12,12,14,14,14,14,14,16,22,27,35,35,36,40,46,48,50,51,53,57,58,64,66,70,76,77,79,86,88,92,94,98,101,105,109,115,121,126,132,140,145,151,155,161,169,175,182,189,197,203,213,221,227,234,242,252,260,274,278,286,289,296,306,315,323,330,345,352,360,370,378,396,414,430,453,453,
Bihar,BR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,4,4,4,5,5,5,6,6,6,7,7,7,8,8,9,9,9,9,11,11,11,13,14,15,15,15,21,23,23,24,25,28,29,29,30,31,33,34,34,35,35,36,38,39,39,44,49,49,51,52,54,55,56,56,58,62,63,68,73,78,84,88,90,97,98,100,109,111,118,125,134,143,157,167,173,177,179,187,198,208,212,221,232,249,255,269,273,285,298,312,322,336,349,369,388,400,419,429,450,465,474,484,500,515,537,542,558,568,574,588,601,610,627,644,653,662,674,679,688,694,709,722,728,741,750,754,761,765,775,785,797,808,808,
Chandigarh,CH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,8,8,8,10,11,11,11,12,12,12,12,13,13,13,13,13,14,14,14,14,15,18,19,19,20,20,20,23,24,25,25,26,27,28,28,28,29,30,30,31,31,33,33,37,37,40,41,43,45,45,52,56,57,59,63,68,69,71,74,75,77,80,83,89,89,
Chhattisgarh,CT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,4,4,4,5,6,6,6,6,9,9,9,9,9,10,11,11,12,12,12,12,13,13,13,13,13,14,14,14,14,14,14,14,14,15,17,17,19,19,20,20,21,24,24,24,28,29,29,34,36,39,43,45,46,50,51,54,55,58,61,69,71,77,87,90,96,99,104,109,117,130,134,142,150,158,164,172,180,190,197,206,221,231,245,251,262,269,277,287,299,315,337,356,380,395,407,477,493,518,539,539,
Delhi,DL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,4,6,6,7,7,9,9,12,14,19,24,28,30,32,38,42,43,45,47,47,48,50,53,54,54,54,54,56,59,61,64,64,64,64,65,66,68,68,73,73,86,106,115,123,129,148,160,166,176,194,208,231,261,276,288,303,316,398,416,473,523,556,615,659,708,761,812,874,905,984,1085,1214,1271,1327,1400,1837,1904,1969,2035,2112,2175,2233,2301,2365,2429,2492,2558,2623,2680,2742,2803,2864,2923,3004,3067,3115,3165,3213,3258,3300,3334,3371,3411,3446,3487,3545,3571,3597,3628,3663,3690,3719,3745,3777,3806,3827,3853,3881,3907,3936,3963,3989,4004,4021,4033,4044,4059,4082,4098,4111,4131,4139,4153,4167,4178,4188,4196,4214,4226,4235,4257,4270,4284,4300,4313,4330,4347,4369,4389,4404,4426,4444,4462,4481,4500,4513,4538,4567,4599,4618,4638,4666,4687,4715,4715,
Dadra NHDD,DN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
Goa,GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,3,3,3,4,4,4,6,7,7,8,8,9,9,12,14,17,18,18,19,21,21,22,23,26,28,29,29,33,35,36,36,39,42,45,48,53,56,60,64,66,70,72,75,80,86,89,91,93,98,104,111,116,124,126,135,140,144,148,157,165,171,175,178,183,192,194,204,212,220,229,236,245,256,262,268,276,286,286,
Gujarat,GJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,6,6,7,9,10,11,12,14,16,18,19,22,24,26,28,33,36,41,53,63,71,90,103,112,127,133,151,162,181,197,214,236,262,290,319,368,396,425,449,472,493,513,537,566,586,606,625,659,694,719,749,773,802,829,858,888,915,938,960,980,1007,1038,1063,1092,1122,1155,1190,1219,1249,1280,1313,1347,1385,1416,1449,1478,1506,1534,1561,1592,1619,1639,1664,1685,1711,1736,1754,1772,1790,1809,1828,1847,1868,1887,1905,1926,1944,1961,1978,1994,2009,2023,2033,2046,2056,2070,2080,2090,2107,2126,2146,2166,2200,2228,2256,2282,2304,2325,2347,2371,2395,2417,2439,2463,2485,2507,2532,2555,2582,2604,2627,2652,2672,2695,2713,2731,2746,2765,2785,2800,2820,2837,2853,2867,2881,2895,2908,2928,2945,2962,2976,2989,3006,3020,3034,3046,3062,3076,3092,3106,3121,3134,3150,3165,3181,3196,3196,
Himachal Pradesh,HP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,16,17,17,18,18,18,18,18,18,20,22,24,28,28,28,29,31,32,32,33,34,37,41,42,47,49,53,54,55,59,62,65,70,72,72,
Haryana,HR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,5,5,6,6,7,7,8,9,10,11,11,11,11,13,13,14,14,14,14,14,16,16,16,16,16,18,19,19,20,20,21,23,23,24,24,24,28,39,45,52,64,70,78,88,100,118,130,134,144,149,160,169,178,188,198,211,218,223,232,236,240,251,255,260,265,276,279,282,287,290,297,301,308,312,319,322,327,344,349,355,364,372,378,382,389,392,397,406,413,417,421,428,433,440,448,455,458,467,474,483,489,500,503,511,518,528,538,550,557,567,578,585,597,603,613,623,634,646,661,670,682,689,706,721,740,759,781,806,829,854,882,907,932,956,956,
Jharkhand,JH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,5,5,5,5,5,5,6,7,7,7,7,8,8,8,8,8,8,9,9,10,11,11,11,11,11,11,12,12,12,12,12,15,15,15,15,15,18,19,20,22,22,23,23,24,31,33,36,38,42,46,48,49,53,61,64,67,76,83,83,90,94,99,103,106,114,118,125,129,136,145,151,160,177,189,194,202,209,224,229,244,255,265,278,286,297,310,318,335,347,362,377,389,398,410,417,428,438,444,447,462,469,482,496,512,517,532,542,542,
Jammu and Kashmir,JK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,3,3,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,6,6,7,8,8,8,8,8,8,8,8,8,9,9,9,9,10,10,11,11,11,12,13,15,17,18,20,20,21,21,23,24,26,27,28,28,28,31,33,34,35,36,39,41,45,48,51,52,53,55,59,62,63,64,71,75,81,82,85,87,88,90,91,93,94,95,101,105,115,119,127,132,138,143,149,154,159,169,179,187,195,206,222,231,236,244,254,263,273,282,296,305,312,321,333,348,365,377,388,396,407,417,426,436,449,459,472,478,490,498,509,520,527,542,548,561,572,578,593,608,617,624,638,657,671,678,685,694,703,717,732,743,755,770,784,801,815,832,845,854,864,864,
Karnataka,KA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,4,4,4,4,4,5,6,6,6,6,8,10,12,13,13,14,16,16,17,17,17,18,18,19,20,20,21,22,22,25,25,27,29,29,30,30,30,31,31,31,33,35,36,36,37,37,40,41,41,41,42,42,43,43,46,46,46,47,49,50,50,51,55,55,57,59,62,64,67,70,77,80,85,87,94,102,114,123,132,137,142,150,164,170,180,191,207,226,246,253,272,293,335,372,402,417,471,488,545,615,686,759,841,928,1032,1147,1240,1331,1403,1464,1519,1616,1726,1798,1880,1955,2057,2147,2230,2314,2412,2496,2594,2704,2804,2897,2997,3090,3197,3311,3397,3510,3613,3717,3831,3947,4062,4201,4327,4429,4522,4615,4683,4810,4958,5091,5232,5368,5483,5589,5702,5837,5950,6054,6170,6298,6393,6534,6680,6808,6937,7067,7161,7161,
