State,State Code,2020-01-30,2020-02-02,2020-02-03,2020-02-14,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,
Kerala,KL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,6,6,7,7,8,9,10,10,11,12,12,15,15,16,16,17,17,18,19,20,20,20,21,21,21,22,22,22,22,22,23,23,23,23,23,23,24,25,26,26,26,26,26,28,28,28,28,28,30,32,34,35,36,38,39,41,43,44,45,46,51,55,60,62,64,68,69,71,74,82,83,85,88,95,98,103,107,109,116,121,127,130,140,147,157,170,176,183,192,204,219,224,235,245,258,268,275,281,288,295,299,306,316,327,338,348,360,373,385,397,411,426,426,
Ladakh,LA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,4,4,4,6,7,7,7,7,7,7,7,7,9,9,9,9,9,9,9,9,10,14,14,17,18,18,19,21,23,23,24,25,27,28,32,34,34,35,35,35,35,35,35,35,35,35,36,38,39,39,
Maharashtra,MH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,11,16,21,26,32,45,52,64,72,97,110,127,149,160,178,187,194,201,211,223,232,251,269,283,301,323,342,369,400,432,459,485,521,548,583,617,651,694,731,779,832,868,921,975,1019,1068,1135,1198,1249,1325,1390,1454,1517,1577,1635,1695,1792,1897,1982,2098,2197,2286,2362,2465,2587,2710,2849,2969,3060,3169,3289,3438,3590,3717,3830,3950,4128,5537,5651,5751,5893,5984,6170,6283,6531,6739,6931,7106,7273,7429,7610,7855,8053,8178,8376,8671,8822,9026,9250,9448,9667,9893,10116,10289,10482,10695,10928,11194,11452,11596,11854,12030,12276,12556,12854,13132,13389,13656,13883,14165,14463,14729,14994,15316,15576,15842,16142,16476,16792,17092,17367,17757,18050,18306,18650,19063,19427,19749,20037,20265,20687,21033,21359,21698,21995,22253,22465,22794,23089,23444,23775,24103,24399,24583,24903,25195,25586,25964,26276,26604,27027,27407,27787,28282,28724,29115,29115,
Meghalaya,ML,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,8,8,8,8,9,10,10,10,10,12,13,13,14,15,16,17,17,19,20,24,25,25,
Manipur,MN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,6,7,7,7,7,8,10,11,11,11,12,12,13,13,13,16,17,18,18,18,20,22,22,22,24,25,25,27,28,28,28,29,29,32,35,36,38,38,39,40,44,44,45,45,
Madhya Pradesh,MP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,5,6,8,8,11,13,15,21,24,33,36,40,43,50,53,53,55,69,69,72,76,80,80,83,92,99,103,110,120,130,137,145,151,156,165,176,185,193,200,211,215,221,225,232,237,239,243,248,252,258,267,271,272,281,290,300,305,313,321,334,343,350,358,364,371,377,384,399,412,414,420,427,431,440,447,459,465,476,482,486,495,501,515,521,525,534,542,546,550,557,564,572,581,589,593,598,608,617,622,629,634,638,644,653,663,673,682,689,698,706,721,738,756,770,780,791,799,811,820,830,844,857,867,876,886,900,912,929,946,962,977,996,1015,1033,1048,1065,1081,1094,1105,1128,1141,1159,1171,1185,1206,1229,1246,1265,1282,1306,1323,1345,1374,1394,1426,1453,1483,1513,1543,1572,1589,1609,1640,1661,1691,1728,1728,
Mizoram,MZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Nagaland,NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,5,4,4,4,4,4,4,4,4,6,6,7,7,8,8,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,
Odisha,OR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,4,4,5,6,7,7,7,7,7,7,7,7,9,9,9,9,9,9,9,10,10,11,11,11,11,12,13,13,14,14,14,14,14,14,15,19,21,24,24,24,24,25,28,30,32,33,35,37,43,46,48,54,61,67,73,79,84,91,96,101,103,109,112,119,125,133,139,145,153,163,174,181,189,195,205,214,225,236,248,258,269,280,292,307,321,337,349,358,367,377,386,396,406,415,425,433,443,452,462,472,481,494,501,509,523,535,545,556,567,575,584,591,599,609,622,633,644,658,669,679,
Punjab,PB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,4,5,5,5,7,7,8,9,10,11,12,12,12,13,13,14,14,16,16,16,16,16,17,17,17,18,19,19,19,20,20,20,21,23,25,27,28,29,31,31,31,32,32,32,32,32,35,37,38,38,39,39,39,40,40,40,40,40,42,44,45,44,46,47,47,48,50,51,53,55,55,59,63,65,67,71,72,78,83,92,98,99,101,105,113,120,122,128,133,138,144,149,152,157,162,164,169,175,178,183,187,195,199,204,213,221,230,239,246,254,262,263,269,277,282,291,306,318,336,361,370,386,405,423,442,462,491,517,539,562,586,604,636,675,706,731,771,812,862,898,920,957,991,1036,1086,1129,1178,1219,1256,1307,1348,1404,1453,1512,1618,1690,1739,1808,1862,1923,1990,2061,2149,2212,2288,2288,
Puducherry,PY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,4,4,4,5,6,7,7,8,8,9,9,9,9,10,11,11,12,12,12,13,14,14,14,14,14,16,17,18,18,18,18,21,22,25,28,28,29,30,31,34,35,38,40,43,47,47,48,49,51,52,56,58,65,70,75,80,87,89,91,96,102,106,106,110,114,123,129,137,143,151,159,164,172,180,190,199,211,221,228,240,253,260,280,298,314,325,337,347,353,365,370,370,
Rajasthan,RJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,3,3,9,11,11,11,11,11,17,21,23,25,26,27,28,32,34,41,50,52,55,58,62,68,71,77,89,93,99,103,106,108,113,117,121,125,125,126,131,138,143,147,151,153,160,163,167,170,173,180,184,193,194,199,203,209,213,218,231,240,246,255,259,265,272,282,292,301,308,313,330,333,337,349,356,365,375,379,380,391,399,405,413,421,430,440,447,456,461,472,482,491,497,503,510,518,524,530,538,546,553,559,568,577,583,594,602,613,624,633,644,654,667,680,694,706,719,732,745,757,767,778,789,800,811,822,833,846,862,876,887,898,910,921,933,944,955,967,980,992,1005,1017,1030,1043,1056,1069,1081,1095,1108,1122,1137,1151,1164,1178,1192,1207,1221,1221,
Sikkim,SK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,5,5,5,5,5,7,7,7,11,13,13,
Telangana,TG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,9,9,11,11,11,11,11,11,12,12,14,16,17,18,18,18,18,18,21,23,23,24,25,25,25,25,25,25,25,28,28,29,29,29,29,29,29,29,30,30,30,32,34,34,34,34,34,34,38,40,45,48,49,53,56,57,63,67,71,77,82,88,92,99,105,113,123,137,142,148,156,165,174,182,185,187,191,192,195,198,203,210,217,220,225,230,237,243,247,253,260,267,275,283,288,295,306,313,324,331,339,348,356,365,375,386,396,403,409,415,422,429,438,447,455,463,463,471,480,492,505,519,530,540,551,563,576,589,601,615,627,637,645,654,665,674,684,693,703,711,719,729,737,744,755,761,770,780,788,799,808,818,827,836,846,856,866,877,886,895,906,916,927,940,950,961,
Tamil Nadu,TN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,5,6,7,8,8,9,10,11,11,12,14,15,15,15,15,17,18,18,20,22,23,24,24,25,27,27,28,29,30,31,33,35,37,40,44,47,53,61,64,66,71,75,79,82,85,88,95,99,104,112,119,130,136,148,157,163,176,187,200,208,223,235,254,272,289,307,326,349,367,397,435,479,528,576,625,666,704,757,794,833,866,911,957,1025,1079,1141,1201,1264,1321,1385,1450,1510,1571,1636,1700,1765,1829,1898,1966,2032,2099,2167,2236,2315,2403,2481,2551,2626,3144,3232,3320,3409,3494,3571,3659,3741,3841,3935,4034,4132,4241,4349,4461,4571,4690,4808,4927,5041,5159,5278,5397,5514,5641,5766,5886,6007,6123,6239,6340,6420,6517,6614,6721,6839,6948,7050,7137,7231,7322,7418,7516,7608,7687,7751,7836,7925,8012,8090,8154,8231,8307,8307,
Tripura,TR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,3,5,5,7,8,9,10,11,11,13,17,21,21,21,21,23,27,27,28,30,31,36,37,41,42,43,43,44,46,50,55,59,62,65,65,69,70,72,73,79,83,85,89,94,98,103,113,118,126,129,136,144,149,152,161,167,172,182,194,
India(Total cases),TT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,28,41,47,58,69,83,96,118,134,161,181,227,249,290,332,359,396,423,449,487,522,560,593,646,682,722,781,825,881,939,1008,1079,1154,1231,1323,1463,1566,1694,1785,1889,1986,2102,2214,2295,2415,2552,2649,2753,2873,3025,3156,3302,3436,3584,3726,3868,4024,4173,4346,4534,4710,4978,5183,5405,5606,5828,6087,6361,6647,6944,7205,7476,7748,8106,8500,8888,9197,9521,9917,11921,12262,12605,12969,13277,13703,14015,14483,14907,15308,15689,16103,16487,16904,17409,17847,18225,18669,19280,19701,20174,20653,21145,21624,22144,22685,23182,23723,24305,24919,25599,26275,26818,27493,28089,28760,29890,30645,31408,32111,32815,33457,34231,35006,35790,36554,37408,38168,38974,39823,40742,41641,42577,43452,44465,45352,46187,47137,48143,49132,50084,51036,51916,53015,53994,54975,55928,56846,57692,58546,59612,60629,61695,62714,63657,64617,65433,66460,67486,68569,69635,70679,71684,72813,73920,75088,76301,77503,78614,78727,
Uttar Pradesh,UP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,3,3,4,4,4,5,5,5,8,11,13,14,14,17,18,21,21,24,25,27,30,31,34,39,40,42,43,43,50,56,60,62,66,74,79,80,82,86,88,95,104,112,118,123,127,138,152,155,161,169,177,182,197,201,213,217,222,229,230,245,257,268,275,283,301,321,345,365,385,399,417,435,465,488,507,529,550,569,588,596,611,630,649,660,672,697,718,735,749,773,785,809,827,845,862,889,913,934,955,983,1012,1046,1084,1108,1146,1192,1229,1263,1298,1348,1387,1426,1456,1497,1530,1587,1630,1677,1730,1778,1817,1857,1918,1981,2028,2069,2120,2176,2230,2280,2335,2393,2449,2515,2585,2638,2733,2797,2867,2926,2987,3059,3141,3217,3294,3356,3423,3486,3542,3616,3691,3762,3843,3920,3976,4047,4112,4206,4282,4349,4429,
Uttarakhand,UT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,4,4,4,4,5,5,5,7,8,10,11,11,13,13,13,15,16,21,23,24,24,25,26,26,26,27,27,28,30,35,36,37,37,38,39,41,41,42,42,42,42,42,43,46,46,46,46,47,49,50,50,50,51,52,52,55,55,57,60,62,63,63,66,70,72,76,80,83,86,90,95,98,102,112,117,125,134,136,140,143,147,151,152,158,164,178,187,192,195,200,207,213,219,228,239,250,257,269,280,291,300,312,330,341,348,360,372,377,388,402,402,
West Bengal,WB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,3,3,3,3,3,5,5,5,5,7,7,7,7,10,10,12,12,12,15,15,15,18,18,20,20,22,22,33,41,48,122,133,140,144,151,160,171,185,190,198,207,215,225,232,238,244,250,253,259,265,269,272,278,283,289,295,302,309,317,325,335,345,355,366,383,396,405,415,432,442,451,463,475,485,495,506,518,529,540,555,569,580,591,606,616,629,639,653,668,683,699,717,736,757,779,804,827,854,880,906,932,956,980,1000,1023,1049,1076,1112,1147,1182,1221,1255,1290,1332,1372,1411,1449,1490,1536,1581,1629,1678,1731,1785,1846,1902,1954,2005,2059,2100,2149,2203,2259,2319,2377,2428,2473,2528,2581,2634,2689,2737,2794,2851,2909,2964,3017,3073,3126,3176,3228,3283,3339,3394,3452,3510,3562,3620,3677,3730,3771,3828,3887,3887,